Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading,Wing_area,Wing_shape,Wing_vein,Asymmetry_wing_area,Asymmetry_wing_shape,Asymmetry_wing_vein,Asymmetry_l2,Asymmetry_l3p,Asymmetry_l3d,Asymmetry_lpd,Asymmetry_l3,Asymmetry_w1,Asymmetry_w2,Asymmetry_w3
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,1,male,1.013,1.446,0.532,1.219,1.751,1.749,0.803,1.062,0.9,1.727,0.696,2.2320023364485984,2.291,0.020591397849462366,0.03803438055720214,0.044,0.036,0.016,0.013,0.029,0.031,0.014955794504181602,0.018205309734513276,0.017089445438282648
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,2,female,1.076,1.523,0.542,1.277,1.817,1.817,0.826,1.128,0.913,1.688,0.75,2.199,2.358,0.033,0.041,0.077,0.017,0.019,0.003,0.022,0.023,0.026,0.017,0.051
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,2,male,1.010,1.463,0.498,1.259,1.757,1.754,0.831,1.088,0.952,1.737,0.729,2.11,2.528,0.005,0.052,0.087,0.018,0.016,0.003,0.013,0.016,0.013,0.005,0.013
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,3,female,1.145,1.698,0.567,1.469,2.035,2.034,0.867,1.217,0.979,1.777,0.881,2.347,2.59,0.032,0.08,0.065,0.03,0.01,0.063,0.073,0.072,0.001,0.009,0.002
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,3,male,1.059,1.478,0.533,1.248,1.78,1.78,0.808,1.043,0.941,1.681,0.718,2.204,2.344,0.001,0.001,0.107,0.021,0.017,0.017,0.022593731519810766,0.001,0.001,0.006,0.016
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,1,female,1.066,1.414,0.516,1.139,1.654,1.652,0.813,1.114,0.845,1.550,0.672,2.032,2.211,0.04,0.052,0.21,0.071,0.011,0.084,0.074,0.071,0.014,0.008,0.071
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,1,male,0.974,1.482,0.543,1.177,1.72,1.719,0.762,1.041,0.884,1.764,0.654,2.26,2.17,0.036,0.201,0.026,0.083,0.013,0.014,0.029,0.029,0.055,0.016,0.065
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,2,female,1.025,1.497,0.518,1.258,1.776,1.775,0.788,1.059,0.924,1.731,0.699,2.254,2.429,0.025,0.041,0.088,0.004,0.018,0.002,0.016,0.015,0.021,0.019,0.001
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,2,male,1.027,1.554,0.511,1.336,1.847,1.847,0.846,1.16,0.934,1.797,0.781,2.183,2.615,0.004,0.019,0.15,0.001,0.022,0.019,0.003,0.003,0.006,0.005,0.02
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,3,male,1.049,1.478,0.483,1.274,1.757,1.756,0.831,1.089,0.939,1.674,0.729,2.114,2.638,0.002,0.032,0.093,0.018,0.008,0.024,0.016,0.016,0.005,0.01,0.006
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,1,female,1.166,1.91,0.578,1.675,2.254,2.252,0.982,1.381,1.123,1.932,1.106,2.292,2.898,0.014,0.014,0.071,0.014,0.012,0.006,0.005,0.007,0.009,0.003,0.004
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,1,male,1.105,1.768,0.601,1.531,2.132,2.132,0.963,1.315,1.072,1.929,1.026,2.214,2.546,0.002,0.051,0.14,0.021,0.031,0.005,0.026,0.027,0.01,0.02,0.003
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,2,female,1.174,1.829,0.622,1.549,2.17,2.17,0.997,1.36,1.117,1.848,1.082,2.175,2.49,0.017,0.048,0.022,0.008,0.006,0.001,0.007,0.007,0.019,0.03,0.005
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,2,male,1.086,1.7,0.595,1.505,2.1,2.098,0.937,1.251,1.056,1.932,0.983,2.239,2.529,0.006,0.014,0.02,0.004,0.01630017761989343,0.012,0.012,0.013,0.014955794504181602,0.001,0.006
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,3,female,1.199,1.864,0.585,1.659,2.244,2.242,1.009,1.376,1.142,1.870,1.131,2.223,2.833,0.016,0.03,0.075,0.002,0.011,0.013,0.002,0.001,0.014,0.006,0.006
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,1,female,1.186,1.872,0.628,1.571,2.199,2.199,1.002,1.356,1.143,1.854,1.101,2.196,2.504,0.041,0.071,0.006,0.004,0.003,0.004,0.006,0.006,0.035,0.027,0.032
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,1,male,1.121,1.781,0.621,1.518,2.139,2.138,0.975,1.308,1.103,1.907,1.042,2.193,2.444,0.004,0.07,0.025,0.008,0.006,0.03,0.036,0.038,0.014,0.025,0.001
